Title,Title_link,Thumbnail,Box-sc-8ox7qa-0,Text__TextBase-sc-1i9uasc-0-div,Text__TextBase-sc-1i9uasc-0-div1,Text__TextBase-sc-1i9uasc-0-div2,Text__TextBase-sc-1i9uasc-0-div3,SSeMC,Padding-sc-1d43y5s-01,cERLyX,Field2,Field3
3458 E Indianapolis Ave,https://www.trulia.com/p/ca/fresno/3458-e-indianapolis-ave-fresno-ca-93726--2117054861,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",22-Jul-20,"$265,000 ",3bd,2ba,"1,333 sqft","1,333 sqft","Hoover, Fresno, CA",2ba,"Lot Size: 6,708 sqft",Built in 1959
3366 W Shields Ave,https://www.trulia.com/p/ca/fresno/3366-w-shields-ave-fresno-ca-93722--2117021688,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",22-Jul-20,"$375,500 ",10bd,10ba,"4,328 sqft","4,328 sqft","West, Fresno, CA",10ba,"Lot Size: 10,890 sqft",Built in 1990
3458 E Indianapolis Ave,https://www.trulia.com/p/ca/fresno/3458-e-indianapolis-ave-fresno-ca-93726--2117054861,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=3458%20E%20Indianapolis%20Ave%20Fresno%20CA%2093726&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=lz-GaVWWoTOhMw2fSH6Q6zxkQTY%3D,22-Jul-20,"$265,000 ",3bd,2ba,"1,333 sqft","1,333 sqft","Hoover, Fresno, CA",2ba,"Lot Size: 6,708 sqft",Built in 1959
3366 W Shields Ave,https://www.trulia.com/p/ca/fresno/3366-w-shields-ave-fresno-ca-93722--2117021688,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=3366%20W%20Shields%20Ave%20Fresno%20CA%2093722&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=YirzMC2UPWRgOKAlDX221o1kcJc%3D,22-Jul-20,"$375,500 ",10bd,10ba,"4,328 sqft","4,328 sqft","West, Fresno, CA",10ba,"Lot Size: 10,890 sqft",Built in 1990
1402 E Via Dorata Way,https://www.trulia.com/p/ca/fresno/1402-e-via-dorata-way-fresno-ca-93730--2357192715,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=1402%20E%20Via%20Dorata%20Way%20Fresno%20CA%2093730&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=vyPB2L1olpHbwve2AUt64HixgiU%3D,21-Jul-20,"$365,000 ",3bd,3ba,"1,641 sqft","1,641 sqft","Woodward Park, Fresno, CA",3ba,"Lot Size: 2,354 sqft",$147/monthly HOA
3296 Junipero Ave,https://www.trulia.com/p/ca/clovis/3296-junipero-ave-clovis-ca-93737--2456786123,https://maps.googleapis.com/maps/api/staticmap?zoom=18&size=320x240&maptype=satellite&center=36.79210662841797%2C-119.63228607177734&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=KhprSgq4_Q0Fv_cXLS-pR3Hp67s%3D,21-Jul-20,"$365,500 ",Studio,3296 Junipero Ave,"Clovis, CA",3296 Junipero Ave,"Clovis, CA",,,
6907 E Woodward Ave,https://www.trulia.com/p/ca/fresno/6907-e-woodward-ave-fresno-ca-93727--2436678221,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$304,500 ",Studio,6907 E Woodward Ave,"Roosevelt, Fresno, CA",6907 E Woodward Ave,"Roosevelt, Fresno, CA",,,
5139 N Sequoia Ave,https://www.trulia.com/p/ca/fresno/5139-n-sequoia-ave-fresno-ca-93711--2116994878,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$770,000 ",2bd,4.25ba,"3,664 sqft","3,664 sqft","Bullard, Fresno, CA",4.25ba,Lot Size: 0.78 acres,Built in 1959
5349 N Sequoia Ave,https://www.trulia.com/p/ca/fresno/5349-n-sequoia-ave-fresno-ca-93711--2116995204,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$770,000 ",4bd,4ba,"3,967 sqft","3,967 sqft","Bullard, Fresno, CA",4ba,Lot Size: 0.53 acres,Built in 1973
172 W Roberts Ave,https://www.trulia.com/p/ca/fresno/172-w-roberts-ave-fresno-ca-93704--2116950252,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$230,000 ",3bd,1.75ba,"1,066 sqft","1,066 sqft","Bullard, Fresno, CA",1.75ba,"Lot Size: 9,286 sqft",Built in 1956
7215 N Teilman Ave,https://www.trulia.com/p/ca/fresno/7215-n-teilman-ave-fresno-ca-93711--2116999139,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$430,000 ",4bd,3ba,"2,556 sqft","2,556 sqft","Bullard, Fresno, CA",3ba,"Lot Size: 10,890 sqft",Built in 1979
6570 N Sierra Vista Ave,https://www.trulia.com/p/ca/fresno/6570-n-sierra-vista-ave-fresno-ca-93710--2116985087,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$270,000 ",3bd,2ba,"1,834 sqft","1,834 sqft","Hoover, Fresno, CA",2ba,"Lot Size: 9,888 sqft",Built in 1974
775 E Minarets Ave,https://www.trulia.com/p/ca/fresno/775-e-minarets-ave-fresno-ca-93720--2117011169,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$340,000 ",4bd,1.75ba,"1,785 sqft","1,785 sqft","Woodward Park, Fresno, CA",1.75ba,"Lot Size: 7,405 sqft",Built in 1975
4441 E Pine Ave,https://www.trulia.com/p/ca/fresno/4441-e-pine-ave-fresno-ca-93703--2116946272,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$219,000 ",3bd,2ba,"1,128 sqft","1,128 sqft","Roosevelt, Fresno, CA",2ba,"Lot Size: 7,801 sqft",Built in 1946
1820 S Claremont Ave,https://www.trulia.com/p/ca/fresno/1820-s-claremont-ave-fresno-ca-93727--2117063799,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$524,000 ",3bd,3ba,"3,131 sqft","3,131 sqft","Roosevelt, Fresno, CA",3ba,Lot Size: 0.50 acres,Built in 1964
1307 N Applegate Ave,https://www.trulia.com/p/ca/fresno/1307-n-applegate-ave-fresno-ca-93737--2117091229,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$920,000 ",5bd,5ba,"3,951 sqft","3,951 sqft","Fresno, CA",5ba,,
1284 E Barstow Ave,https://www.trulia.com/p/ca/fresno/1284-e-barstow-ave-fresno-ca-93710--2116979318,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$275,000 ",3bd,2ba,"1,652 sqft","1,652 sqft","Hoover, Fresno, CA",2ba,"Lot Size: 10,750 sqft",Built in 1963
2772 E Pryor Dr,https://www.trulia.com/p/ca/fresno/2772-e-pryor-dr-fresno-ca-93720--2117007035,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$405,000 ",3bd,2.25ba,"2,005 sqft","2,005 sqft","Woodward Park, Fresno, CA",2.25ba,"Lot Size: 6,868 sqft",Built in 2002
1516 E Vartikian Ave,https://www.trulia.com/p/ca/fresno/1516-e-vartikian-ave-fresno-ca-93710--1055385711,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$270,000 ",4bd,1.75ba,"1,796 sqft","1,796 sqft","Hoover, Fresno, CA",1.75ba,"Lot Size: 6,198 sqft",Built in 1970
1102 E Goshen Ave,https://www.trulia.com/p/ca/fresno/1102-e-goshen-ave-fresno-ca-93720--2117000805,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$345,000 ",4bd,2.5ba,"1,704 sqft","1,704 sqft","Woodward Park, Fresno, CA",2.5ba,"Lot Size: 5,301 sqft",Built in 1989
3853 Arden Dr S,https://www.trulia.com/p/ca/fresno/3853-arden-dr-s-fresno-ca-93703--2116945496,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$211,000 ",3bd,1ba,"1,328 sqft","1,328 sqft","Mclane, Fresno, CA",1ba,"Lot Size: 6,599 sqft",Built in 1951
5145 E Lane Ave #251,https://www.trulia.com/p/ca/fresno/5145-e-lane-ave-251-fresno-ca-93727--2117071386,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$75,000 ",1bd,1ba,652 sqft,652 sqft,"Roosevelt, Fresno, CA",1ba,Lot Size: 609 sqft,Built in 1985
5843 E Booker Ave,https://www.trulia.com/p/ca/fresno/5843-e-booker-ave-fresno-ca-93727--2117076239,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$337,000 ",3bd,2.5ba,"2,029 sqft","2,029 sqft","Roosevelt, Fresno, CA",2.5ba,"Lot Size: 6,960 sqft",Built in 2011
1151 S Chestnut Ave #238,https://www.trulia.com/p/ca/fresno/1151-s-chestnut-ave-238-fresno-ca-93702--2116929029,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$85,000 ",2bd,2ba,"1,013 sqft","1,013 sqft","Roosevelt, Fresno, CA",2ba,"Lot Size: 1,224 sqft",$284/monthly HOA
5420 E Euclid Ave,https://www.trulia.com/p/ca/fresno/5420-e-euclid-ave-fresno-ca-93727--2117073079,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$300,000 ",3bd,2ba,"1,900 sqft","1,900 sqft","Fresno, CA",2ba,Lot Size: 0.34 acres,Built in 1960
6676 E Cetti Ave,https://www.trulia.com/p/ca/fresno/6676-e-cetti-ave-fresno-ca-93727--2117079641,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$335,000 ",3bd,2ba,"2,129 sqft","2,129 sqft","Roosevelt, Fresno, CA",2ba,"Lot Size: 6,324 sqft",Built in 2007
5205 W Lamona Ave,https://www.trulia.com/p/ca/fresno/5205-w-lamona-ave-fresno-ca-93722--2117031334,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$483,000 ",3bd,3ba,"2,256 sqft","2,256 sqft","Fresno, CA",3ba,Lot Size: 2.13 acres,Built in 1978
1750 W Santa Ana Ave #102,https://www.trulia.com/p/ca/fresno/1750-w-santa-ana-ave-102-fresno-ca-93705--2116960580,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$211,000 ",3bd,1.75ba,"1,520 sqft","1,520 sqft","Bullard, Fresno, CA",1.75ba,"Lot Size: 3,240 sqft",$310/monthly HOA
3115 E Thomas Ave,https://www.trulia.com/p/ca/fresno/3115-e-thomas-ave-fresno-ca-93702--2116930505,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$145,000 ",2bd,1ba,656 sqft,656 sqft,"Roosevelt, Fresno, CA",1ba,"Lot Size: 3,223 sqft",Built in 1911
7064 E Ramona Way,https://www.trulia.com/p/ca/fresno/7064-e-ramona-way-fresno-ca-93737--2117091905,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$410,000 ",6bd,3ba,"3,016 sqft","3,016 sqft","Mclane, Fresno, CA",3ba,"Lot Size: 7,148 sqft",Built in 2010
4918 E Sooner Dr,https://www.trulia.com/p/ca/fresno/4918-e-sooner-dr-fresno-ca-93727--2117069240,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$236,000 ",3bd,1.75ba,"1,294 sqft","1,294 sqft","Roosevelt, Fresno, CA",1.75ba,"Lot Size: 6,298 sqft",Built in 1961
2656 N Cecelia Ave,https://www.trulia.com/p/ca/fresno/2656-n-cecelia-ave-fresno-ca-93722--2117019544,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$274,000 ",3bd,2ba,"1,664 sqft","1,664 sqft","West, Fresno, CA",2ba,"Lot Size: 6,359 sqft",Built in 2000
993 N Farris Ave,https://www.trulia.com/p/ca/fresno/993-n-farris-ave-fresno-ca-93728--1023109700,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=993%20N%20Farris%20Ave%20Fresno%20CA%2093728&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=HCD52s1bpqlfVSUzHco7XHmOG8A%3D,21-Jul-20,"$268,000 ",3bd,1.5ba,"1,475 sqft","1,475 sqft","Fresno High Roeding, Fresno, CA",1.5ba,"Lot Size: 4,399 sqft",Built in 1935
3638 N Harrison Ave,https://www.trulia.com/p/ca/fresno/3638-n-harrison-ave-fresno-ca-93704--2116952066,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=3638%20N%20Harrison%20Ave%20Fresno%20CA%2093704&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=pb2c11MtyzhYKjpsEOF0EOT6VZo%3D,21-Jul-20,"$210,000 ",3bd,1.5ba,"1,171 sqft","1,171 sqft","Fresno High Roeding, Fresno, CA",1.5ba,"Lot Size: 7,967 sqft",Built in 1951
1452 E Fremont Ave,https://www.trulia.com/p/ca/fresno/1452-e-fremont-ave-fresno-ca-93710--2116979708,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=1452%20E%20Fremont%20Ave%20Fresno%20CA%2093710&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=zNF-fVebHst8Pg38AiKg4bK39W4%3D,21-Jul-20,"$265,000 ",4bd,1.75ba,"1,355 sqft","1,355 sqft","Hoover, Fresno, CA",1.75ba,"Lot Size: 7,000 sqft",Built in 1971
40 E San Joaquin St,https://www.trulia.com/p/ca/fresno/40-e-san-joaquin-st-fresno-ca-93706--2116975216,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=40%20E%20San%20Joaquin%20St%20Fresno%20CA%2093706&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=O-JwOclr3tvj5ApKCGSJ5j9Wl_Y%3D,21-Jul-20,"$149,500 ",3bd,2ba,"1,113 sqft","1,113 sqft","Edison, Fresno, CA",2ba,Lot Size: 0.26 acres,Built in 1919
2305 N Vagedes Ave,https://www.trulia.com/p/ca/fresno/2305-n-vagedes-ave-fresno-ca-93705--1056517781,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Jul-20,"$317,000 ",5bd,5ba,"2,798 sqft","2,798 sqft","Fresno High Roeding, Fresno, CA",5ba,"Lot Size: 8,001 sqft",Built in 1980
4833 N Harrison Ave,https://www.trulia.com/p/ca/fresno/4833-n-harrison-ave-fresno-ca-93704--2116953462,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$430,000 ",3bd,3ba,"1,877 sqft","1,877 sqft","Bullard, Fresno, CA",3ba,Lot Size: 0.87 acres,$70/monthly HOA
1442 E Via Dorata Way,https://www.trulia.com/p/ca/fresno/1442-e-via-dorata-way-fresno-ca-93730--2357194226,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$374,500 ",3bd,2.5ba,"1,641 sqft","1,641 sqft","Woodward Park, Fresno, CA",2.5ba,"Lot Size: 2,352 sqft",$147/monthly HOA
2861 N Douglas Ave,https://www.trulia.com/p/ca/fresno/2861-n-douglas-ave-fresno-ca-93727--2411483905,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$378,500 ",3bd,2ba,"2,032 sqft","2,032 sqft","Roosevelt, Fresno, CA",2ba,Built in 2020,"Rooms: Walk In Closet, Dining Room, Family Room, Office"
1404 E Quincy Ave,https://www.trulia.com/p/ca/fresno/1404-e-quincy-ave-fresno-ca-93720--2117002183,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$232,000 ",4bd,3ba,"2,261 sqft","2,261 sqft","Woodward Park, Fresno, CA",3ba,"Lot Size: 6,795 sqft",Built in 1991
5700 N Flora Ave,https://www.trulia.com/p/ca/fresno/5700-n-flora-ave-fresno-ca-93710--2116983277,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$335,000 ",4bd,2.5ba,"1,992 sqft","1,992 sqft","Hoover, Fresno, CA",2.5ba,"Lot Size: 10,358 sqft",Built in 1968
2987 E Holland Ave,https://www.trulia.com/p/ca/fresno/2987-e-holland-ave-fresno-ca-93726--2117053545,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$265,000 ",3bd,1.75ba,"1,308 sqft","1,308 sqft","Hoover, Fresno, CA",1.75ba,"Lot Size: 6,499 sqft",Built in 1956
2946 E Indianapolis Ave,https://www.trulia.com/p/ca/fresno/2946-e-indianapolis-ave-fresno-ca-93726--2117053421,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$230,000 ",3bd,1.75ba,"1,248 sqft","1,248 sqft","Hoover, Fresno, CA",1.75ba,"Lot Size: 6,699 sqft",Built in 1958
6702 N Dolores Ave,https://www.trulia.com/p/ca/fresno/6702-n-dolores-ave-fresno-ca-93711--2116998016,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$538,000 ",4bd,2ba,"2,795 sqft","2,795 sqft","Bullard, Fresno, CA",2ba,Lot Size: 0.46 acres,Built in 1986
1234 N Fruit Ave,https://www.trulia.com/p/ca/fresno/1234-n-fruit-ave-fresno-ca-93728--1004323373,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$222,000 ",3bd,1.75ba,"1,333 sqft","1,333 sqft","Fresno High Roeding, Fresno, CA",1.75ba,"Lot Size: 6,098 sqft",Built in 1950
2954 E Brandon Ln,https://www.trulia.com/p/ca/fresno/2954-e-brandon-ln-fresno-ca-93720--2117007653,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$445,000 ",3bd,2ba,"1,914 sqft","1,914 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 8,276 sqft",Built in 2002
134 E Princeton Ave,https://www.trulia.com/p/ca/fresno/134-e-princeton-ave-fresno-ca-93704--2116949327,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$415,000 ",3bd,2ba,"1,853 sqft","1,853 sqft","Fresno High Roeding, Fresno, CA",2ba,"Lot Size: 7,697 sqft",Built in 1946
4068 N Babigian Ave,https://www.trulia.com/p/ca/fresno/4068-n-babigian-ave-fresno-ca-93722--2117023696,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$240,000 ",3bd,1.75ba,"1,430 sqft","1,430 sqft","West, Fresno, CA",1.75ba,"Lot Size: 7,000 sqft",Built in 1982
239 E Portland Ave,https://www.trulia.com/p/ca/fresno/239-e-portland-ave-fresno-ca-93720--2117005790,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$345,000 ",4bd,2ba,"1,726 sqft","1,726 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 6,538 sqft",Built in 1980
7374 W San Madele Ave,https://www.trulia.com/p/ca/fresno/7374-w-san-madele-ave-fresno-ca-93723--2117043781,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$355,000 ",4bd,1.75ba,"2,223 sqft","2,223 sqft","Fresno, CA",1.75ba,"Lot Size: 6,185 sqft",Built in 2012
1389 W Northridge Ave,https://www.trulia.com/p/ca/fresno/1389-w-northridge-ave-fresno-ca-93711--1055131087,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$365,000 ",3bd,2ba,"1,750 sqft","1,750 sqft","Bullard, Fresno, CA",2ba,"Lot Size: 9,918 sqft",Built in 1977
2498 N Antioch Ave,https://www.trulia.com/p/ca/fresno/2498-n-antioch-ave-fresno-ca-93722--2117019176,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Jul-20,"$325,500 ",4bd,3ba,"2,257 sqft","2,257 sqft","West, Fresno, CA",3ba,"Lot Size: 6,499 sqft",Built in 2013
6816 E Woodward Ave,https://www.trulia.com/p/ca/fresno/6816-e-woodward-ave-fresno-ca-93727--2411484003,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$348,500 ",Studio,6816 E Woodward Ave,"Roosevelt, Fresno, CA",6816 E Woodward Ave,"Roosevelt, Fresno, CA",,,
6183 E Zoie Dr,https://www.trulia.com/p/ca/fresno/6183-e-zoie-dr-fresno-ca-93727--2357192080,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$322,500 ",Studio,6183 E Zoie Dr,"Mclane, Fresno, CA",6183 E Zoie Dr,"Mclane, Fresno, CA",,,
5332 W Lamona Ave,https://www.trulia.com/p/ca/fresno/5332-w-lamona-ave-fresno-ca-93722--2411488092,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$388,000 ",Studio,5332 W Lamona Ave,"West, Fresno, CA",5332 W Lamona Ave,"West, Fresno, CA",,,
945 N Roosevelt Ave,https://www.trulia.com/p/ca/fresno/945-n-roosevelt-ave-fresno-ca-93728--2117086664,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$257,000 ",3bd,2.75ba,"1,589 sqft","1,589 sqft","Fresno High Roeding, Fresno, CA",2.75ba,"Lot Size: 5,998 sqft",Built in 1921
3743 W Alluvial Ave,https://www.trulia.com/p/ca/fresno/3743-w-alluvial-ave-fresno-ca-93711--2116994166,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$565,000 ",4bd,3ba,"3,521 sqft","3,521 sqft","Bullard, Fresno, CA",3ba,Lot Size: 0.37 acres,Built in 1981
5960 E Truman Ave,https://www.trulia.com/p/ca/fresno/5960-e-truman-ave-fresno-ca-93727--2440143696,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$380,890 ",5bd,4ba,"3,167 sqft","3,167 sqft","Roosevelt, Fresno, CA",4ba,"Rooms: Dining Room, Family Room",Parking Spaces: 2
2844 E Brown Ave,https://www.trulia.com/p/ca/fresno/2844-e-brown-ave-fresno-ca-93703--2116942953,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$223,000 ",2bd,1.5ba,"1,870 sqft","1,870 sqft","Mclane, Fresno, CA",1.5ba,"Lot Size: 8,102 sqft",Built in 1952
2144 Norris Dr E,https://www.trulia.com/p/ca/fresno/2144-norris-dr-e-fresno-ca-93703--2116941100,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$193,000 ",3bd,1ba,996 sqft,996 sqft,"Mclane, Fresno, CA",1ba,"Lot Size: 7,705 sqft",Built in 1948
4032 Maywood Dr S,https://www.trulia.com/p/ca/fresno/4032-maywood-dr-s-fresno-ca-93703--2116945754,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Jul-20,"$201,000 ",2bd,1ba,"1,074 sqft","1,074 sqft","Mclane, Fresno, CA",1ba,"Lot Size: 7,801 sqft",Built in 1950
2168 E Manning Ave,https://www.trulia.com/p/ca/fresno/2168-e-manning-ave-fresno-ca-93725--2117044959,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=2168%20E%20Manning%20Ave%20Fresno%20CA%2093725&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=-BDty5oNpqd6EyjF3Wa7rgRq_oM%3D,17-Jul-20,Contact For Estimate,2bd,0.75ba,"1,248 sqft","1,248 sqft","Bowles, Fresno, CA",0.75ba,Built in 1918,Cooling System: Evaporative
